docId,food_type_code,display_name,sort_order,is_active,is_visible,allowed_meal_types,created_at,updated_at
bakery_item,bakery_item,Bakery_Item,14,true,true,"[""bakery""]",,
bbq_item,bbq_item,Bbq_Item,3,true,true,"[“bbq"",""cafe""]",,
bf_item,bf_item,BF_Item,12,true,true,"[""brakfast""]",,
bread,bread,Bread,16,true,true,"[""breakfast"",""bbq"",""cafe""]",,
chinese,chinese,Chinese,2,true,true,"[""cafe""]",,
cold_bevarages,cold_bevarages,Cold_Bevarages,9,true,true,"[""breakfast"",""bbq"",""cafe"",""snacks""]",,
continental,continental,Continental,13,true,true,"[""cafe""]",,
desi,desi,Desi,1,true,true,"[""cafe""]",,
dessert,dessert,Desse,7,true,true,"[""cafe"",""bbq"",""snacks""]",,
hot_beverages,hot_beverages,Hot_Beverages,8,true,true,"[""breakfast"",""bbq"",""cafe"",""snacks""]",,
rice,rice,Rice,4,true,true,"[""cafe""]",,
salad,salad,Salad,10,true,true,"[""bbq"",""cafe""]",,
sauce,sauce,Sauce,11,true,true,"[""bbq"",""cafe""]",,
side_item,side_item,Side_Item,6,true,true,"[""cafe"",""bbq""]",,
snack,snack,snack,15,true,true,"[""snacks""]",,
soup,soup,Soup,5,true,true,"[""bbq"",""cafe""]",,
mess_item,mess_item,Mess_Item,17,true,true,"[""breakfast"",""lunch"",""dinner""]",,
