docId,item_Id,name,food_type_code,food_type_name,is_active,estimated_price,base_unit,created_at,updated_at,is_visible,supports_feedback,supports_rate,sort_order,available_meal_types
ITEM001,ITEM001,Lahori Chicken Channay,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM002,ITEM002,Lahori Chicken Channay,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM003,ITEM003,Lahori Chicken Channay,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM004,ITEM004,Chicken White Qorma,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM005,ITEM005,Chicken White Qorma,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM006,ITEM006,Chicken White Qorma,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM007,ITEM007,Anda alu bhujiya,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM008,ITEM008,Anda alu bhujiya,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM009,ITEM009,Anda alu bhujiya,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM010,ITEM010,Chicken Nihari,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM011,ITEM011,Chicken Nihari,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM012,ITEM012,Chicken Nihari,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM013,ITEM013,Aloo Kutli Zeera,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM014,ITEM014,Aloo Kutli Zeera,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM015,ITEM015,Aloo Kutli Zeera,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM016,ITEM016,Mix vegetables,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM017,ITEM017,Mix vegetables,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM018,ITEM018,Mix vegetables,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM019,ITEM019,Beef Karahi,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM020,ITEM020,Beef Karahi,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM021,ITEM021,Beef Karahi,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM022,ITEM022,Chicken degi Quorma,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM023,ITEM023,Chicken Kofta,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM024,ITEM024,Chicken Kofta,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM025,ITEM025,Chicken Kofta,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM026,ITEM026,Chicken Balochi Karahi,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM027,ITEM027,Chicken Balochi Karahi,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM028,ITEM028,Chicken Balochi Karahi,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM029,ITEM029,Masoor daal,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM030,ITEM030,Masoor daal,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM031,ITEM031,Masoor daal,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM032,ITEM032,Kadhi Pakora,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM033,ITEM033,Kadhi Pakora,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM034,ITEM034,Kadhi Pakora,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM035,ITEM035,Plain Channay,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM036,ITEM036,Plain Channay,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM037,ITEM037,Plain Channay,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM038,ITEM038,Beef Paye,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM039,ITEM039,Beef Paye,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM040,ITEM040,Beef Paye,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM041,ITEM041,daal Makhani,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM042,ITEM042,daal Makhani,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM043,ITEM043,daal Makhani,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM044,ITEM044,Sarson Saag,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM045,ITEM045,Sarson Saag,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
ITEM046,ITEM046,Sarson Saag,desi,desi,true,,half,,,true,true,true,1,"[""cafe""]"
ITEM047,ITEM047,Chicken shaljam,desi,desi,true,,single,,,true,true,true,1,"[""cafe""]"
ITEM048,ITEM048,Chicken shaljam,desi,desi,true,,full,,,true,true,true,1,"[""cafe""]"
