docId,push_body,reference_id,target_user_uids,created_by_uid,trigger_source,created_at,type,title,body,created_by_name,publish_at,expires_at,delivery_count_email_sent,updated_at,context_type,target_user_uid,review_status,published_at,delivery_count_push_failed,delivery_count_total,short_message,delivery_count_in_app,send_push,reviewed_at,target_type,send_email,requires_review,notification_id,priority,reference_type,notification_layer,send_in_app,email_body,push_title,delivery_count_push_sent,context_id,reviewed_by_uid,email_subject,delivery_count_email_failed,status,notification_type,message,target_uid,target_role,target_employee_number,related_entity_type,related_entity_id,is_read,is_active,is_visible,read_at,show_popup_on_publish
1S44Z1rLtrP4DNthAqwC,Your dinner booking for 08-04-2026 has been confirmed.,GANGUyQvM5xvY69U55ul,"[""Iggwq4MHI4X98HM5scjf3GSvKaq1""]",,reservation_service,"{""_seconds"":1775573502,""_nanoseconds"":698938000}",meal_booking_confirmed,Meal Booking Confirmed,Your dinner booking for 08-04-2026 has been confirmed.,,"{""_seconds"":1775573502,""_nanoseconds"":698938000}",,0,"{""_seconds"":1775573502,""_nanoseconds"":698938000}",reservation,Iggwq4MHI4X98HM5scjf3GSvKaq1,not_required,"{""_seconds"":1775573502,""_nanoseconds"":698938000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,1S44Z1rLtrP4DNthAqwC,normal,reservation,transactional,true,Your dinner booking for 08-04-2026 has been confirmed.,Meal Booking Confirmed,0,GANGUyQvM5xvY69U55ul,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
1qFB3yyaIiG2anNcR0qc,Your dinner booking for 07-04-2026 has been issued.,QZxuVyVvPVy7REOq1SRp,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,meal_issuance_service,"{""_seconds"":1775589672,""_nanoseconds"":20319000}",meal_issued,Meal Issued,Your dinner booking for 07-04-2026 has been issued.,,"{""_seconds"":1775589672,""_nanoseconds"":20319000}",,0,"{""_seconds"":1775589672,""_nanoseconds"":20319000}",meal_issuance,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589672,""_nanoseconds"":20319000}",0,1,Meal Issued,1,true,,single_user,true,false,1qFB3yyaIiG2anNcR0qc,normal,meal_issuance,transactional,true,Your dinner booking for 07-04-2026 has been issued.,Meal Issued,0,QZxuVyVvPVy7REOq1SRp,,Meal Issued,0,completed,,,,,,,,,,,,
3Zi7SdDX5MtCJLdwz7dv,,,,,,,,Meal Booking Confirmed,,,,,,,,,,,,,,,,,,,,3Zi7SdDX5MtCJLdwz7dv,,,,,,,,,,,,,meal_booking_confirmed,Your lunch booking for 28-03-2026 has been confirmed.,,,,,,true,true,true,,
4FzwgS9bw2uyNO5ZAtze,,,,,,,,Meal Issued,,,,,,,,,,,,,,,,,,,,4FzwgS9bw2uyNO5ZAtze,,,,,,,,,,,,,meal_issued,Your dinner booking for 27-03-2026 has been issued.,,,,,,true,true,true,,
5WfIYmPYxmm7m8LILcNU,,,,,,,,Meal Issued,,,,,,,,,,,,,,,,,,,,5WfIYmPYxmm7m8LILcNU,,,,,,,,,,,,,meal_issued,Your dinner booking for 27-03-2026 has been issued.,,,,,,true,true,true,,
6GHCinQCDes3ApyTTKMG,,,,,,,,Meal Booking Confirmed,,,,,,,,,,,,,,,,,,,,6GHCinQCDes3ApyTTKMG,,,,,,,,,,,,,meal_booking_confirmed,Your breakfast booking for 28-03-2026 has been confirmed.,,,,,,true,true,true,,
ArOREMEbCiROPS0NEinN,,,,,,,,23 march celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_invitation,,,,,,,true,true,true,,
DrHmPAgg8CzG4pl6l4uG,,,,,,,,Meal Booking Confirmed,,,,,,,,,,,,,,,,,,,,DrHmPAgg8CzG4pl6l4uG,,,,,,,,,,,,,meal_booking_confirmed,Your dinner booking for 28-03-2026 has been confirmed.,,,,,,true,true,true,,
FAwAV6f82LHvecm2zH1n,,,,,,,,Meal Booking Cancelled,,,,,,,,,,,,,,,,,,,,FAwAV6f82LHvecm2zH1n,,,,,,,,,,,,,meal_booking_cancelled,Your breakfast booking for 28-03-2026 has been cancelled.,,,,,,true,true,true,,
IAmAowAoqBbzEagB86MH,Your lunch booking for 07-04-2026 has been confirmed.,q6h3Bx96xxHbJ4K4Fi4n,"[""k9hMLpbQ7USaz86Cv4jJhAvCYOw2""]",,reservation_service,"{""_seconds"":1775589485,""_nanoseconds"":959980000}",meal_booking_confirmed,Meal Booking Confirmed,Your lunch booking for 07-04-2026 has been confirmed.,,"{""_seconds"":1775589485,""_nanoseconds"":959980000}",,0,"{""_seconds"":1775589485,""_nanoseconds"":959980000}",reservation,k9hMLpbQ7USaz86Cv4jJhAvCYOw2,not_required,"{""_seconds"":1775589485,""_nanoseconds"":959980000}",0,1,Meal Booking Confirmed,1,true,,single_user,true,false,IAmAowAoqBbzEagB86MH,normal,reservation,transactional,true,Your lunch booking for 07-04-2026 has been confirmed.,Meal Booking Confirmed,0,q6h3Bx96xxHbJ4K4Fi4n,,Meal Booking Confirmed,0,completed,,,,,,,,,,,,
