docId,template_id,is_visible,meal_type,created_at,item_ids,option_label,weekday,menu_option_key,is_active,updated_at,template_name
WMT0001,WMT0001,true,breakfast,"{""_seconds"":1775242800,""_nanoseconds"":0}","[""ITEM001"",""ITEM002""]",breakfast_combo,monday,breakfast_combo_april_26,false,"{""_seconds"":1775551610,""_nanoseconds"":833000000}",
WMT0002,WMT0002,true,lunch,"{""_seconds"":1775242800,""_nanoseconds"":0}","[""ITEM003"",""ITEM004""]",lunch_combo_1,monday,lunch_combo_1_april_26,false,"{""_seconds"":1775551614,""_nanoseconds"":388000000}",
WMT0003,WMT0003,true,lunch,"{""_seconds"":1775242800,""_nanoseconds"":0}","[""ITEM005"",""ITEM006""]",lunch_combo_2,monday,lunch_combo_2_april_26,false,"{""_seconds"":1775551621,""_nanoseconds"":881000000}",
WMT0004,WMT0004,true,dinner,"{""_seconds"":1775242800,""_nanoseconds"":0}","[""ITEM007"",""ITEM008""]",dinner_combo_1,monday,dinner_combo_1_april_26,false,"{""_seconds"":1775551627,""_nanoseconds"":850000000}",
WMT0005,WMT0005,true,dinner,"{""_seconds"":1775242800,""_nanoseconds"":0}","[""ITEM009"",""ITEM0010""]",dinner_combo_2,monday,dinner_combo_2_april_26,false,"{""_seconds"":1775551631,""_nanoseconds"":8000000}",
WMT0006_breakfast_friday_default,WMT0006,true,breakfast,"{""_seconds"":1775551346,""_nanoseconds"":231000000}","[""ITEM085"",""ITEM087""]",Default Option,friday,default,true,"{""_seconds"":1775551346,""_nanoseconds"":231000000}",bf april
WMT0006_breakfast_monday_default,WMT0006,true,breakfast,"{""_seconds"":1775551346,""_nanoseconds"":231000000}","[""ITEM343"",""ITEM090"",""ITEM063"",""ITEM011""]",Default Option,monday,default,true,"{""_seconds"":1775551346,""_nanoseconds"":231000000}",bf april
WMT0006_breakfast_saturday_default,WMT0006,true,breakfast,"{""_seconds"":1775551346,""_nanoseconds"":231000000}","[""ITEM069"",""ITEM350""]",Default Option,saturday,default,true,"{""_seconds"":1775551346,""_nanoseconds"":231000000}",bf april
WMT0006_breakfast_sunday_default,WMT0006,true,breakfast,"{""_seconds"":1775551346,""_nanoseconds"":231000000}","[""ITEM111"",""ITEM348""]",Default Option,sunday,default,true,"{""_seconds"":1775551346,""_nanoseconds"":231000000}",bf april
WMT0006_breakfast_thursday_default,WMT0006,true,breakfast,"{""_seconds"":1775551346,""_nanoseconds"":231000000}","[""ITEM011"",""ITEM002""]",Default Option,thursday,default,true,"{""_seconds"":1775551346,""_nanoseconds"":231000000}",bf april
WMT0006_breakfast_tuesday_default,WMT0006,true,breakfast,"{""_seconds"":1775551346,""_nanoseconds"":231000000}","[""ITEM088"",""ITEM064""]",Default Option,tuesday,default,true,"{""_seconds"":1775551346,""_nanoseconds"":231000000}",bf april
WMT0006_breakfast_wednesday_default,WMT0006,true,breakfast,"{""_seconds"":1775551346,""_nanoseconds"":231000000}","[""ITEM117"",""ITEM344""]",Default Option,wednesday,default,true,"{""_seconds"":1775551346,""_nanoseconds"":231000000}",bf april
WMT0007_lunch_friday_default,WMT0007,true,lunch,"{""_seconds"":1775551596,""_nanoseconds"":999000000}","[""ITEM277""]",Default Option,friday,default,true,"{""_seconds"":1775551596,""_nanoseconds"":999000000}",lunch combo 1 april
WMT0007_lunch_monday_default,WMT0007,true,lunch,"{""_seconds"":1775551596,""_nanoseconds"":999000000}","[""ITEM150"",""ITEM157""]",Default Option,monday,default,true,"{""_seconds"":1775551596,""_nanoseconds"":999000000}",lunch combo 1 april
WMT0007_lunch_saturday_default,WMT0007,true,lunch,"{""_seconds"":1775551596,""_nanoseconds"":999000000}","[""ITEM280"",""ITEM007""]",Default Option,saturday,default,true,"{""_seconds"":1775551596,""_nanoseconds"":999000000}",lunch combo 1 april
WMT0007_lunch_sunday_default,WMT0007,true,lunch,"{""_seconds"":1775551596,""_nanoseconds"":999000000}","[""ITEM233"",""ITEM062""]",Default Option,sunday,default,true,"{""_seconds"":1775551596,""_nanoseconds"":999000000}",lunch combo 1 april
WMT0007_lunch_thursday_default,WMT0007,true,lunch,"{""_seconds"":1775551596,""_nanoseconds"":999000000}","[""ITEM237""]",Default Option,thursday,default,true,"{""_seconds"":1775551596,""_nanoseconds"":999000000}",lunch combo 1 april
WMT0007_lunch_tuesday_default,WMT0007,true,lunch,"{""_seconds"":1775551596,""_nanoseconds"":999000000}","[""ITEM155""]",Default Option,tuesday,default,true,"{""_seconds"":1775551596,""_nanoseconds"":999000000}",lunch combo 1 april
WMT0007_lunch_wednesday_default,WMT0007,true,lunch,"{""_seconds"":1775551596,""_nanoseconds"":999000000}","[""ITEM153""]",Default Option,wednesday,default,true,"{""_seconds"":1775551596,""_nanoseconds"":999000000}",lunch combo 1 april
WMT0008_lunch_friday_default,WMT0008,true,lunch,"{""_seconds"":1775551947,""_nanoseconds"":298000000}","[""ITEM130""]",Default Option,friday,default,true,"{""_seconds"":1775551947,""_nanoseconds"":298000000}",lunch combo 2 april
WMT0008_lunch_monday_default,WMT0008,true,lunch,"{""_seconds"":1775551947,""_nanoseconds"":298000000}","[""ITEM123""]",Default Option,monday,default,true,"{""_seconds"":1775551947,""_nanoseconds"":298000000}",lunch combo 2 april
WMT0008_lunch_saturday_default,WMT0008,true,lunch,"{""_seconds"":1775551947,""_nanoseconds"":298000000}","[""ITEM167""]",Default Option,saturday,default,true,"{""_seconds"":1775551947,""_nanoseconds"":298000000}",lunch combo 2 april
WMT0008_lunch_sunday_default,WMT0008,true,lunch,"{""_seconds"":1775551947,""_nanoseconds"":298000000}","[""ITEM282""]",Default Option,sunday,default,true,"{""_seconds"":1775551947,""_nanoseconds"":298000000}",lunch combo 2 april
WMT0008_lunch_thursday_default,WMT0008,true,lunch,"{""_seconds"":1775551947,""_nanoseconds"":298000000}","[""ITEM161"",""ITEM132""]",Default Option,thursday,default,true,"{""_seconds"":1775551947,""_nanoseconds"":298000000}",lunch combo 2 april
WMT0008_lunch_tuesday_default,WMT0008,true,lunch,"{""_seconds"":1775551947,""_nanoseconds"":298000000}","[""ITEM128""]",Default Option,tuesday,default,true,"{""_seconds"":1775551947,""_nanoseconds"":298000000}",lunch combo 2 april
WMT0008_lunch_wednesday_default,WMT0008,true,lunch,"{""_seconds"":1775551947,""_nanoseconds"":298000000}","[""ITEM280""]",Default Option,wednesday,default,true,"{""_seconds"":1775551947,""_nanoseconds"":298000000}",lunch combo 2 april
WMT0009_dinner_friday_default,WMT0009,true,dinner,"{""_seconds"":1775552400,""_nanoseconds"":987000000}","[""ITEM118"",""ITEM039""]",Default Option,friday,default,true,"{""_seconds"":1775552400,""_nanoseconds"":987000000}",dinner combo 1 april
WMT0009_dinner_monday_default,WMT0009,true,dinner,"{""_seconds"":1775552400,""_nanoseconds"":987000000}","[""ITEM276""]",Default Option,monday,default,true,"{""_seconds"":1775552400,""_nanoseconds"":987000000}",dinner combo 1 april
WMT0009_dinner_saturday_default,WMT0009,true,dinner,"{""_seconds"":1775552400,""_nanoseconds"":987000000}","[""ITEM020"",""ITEM167""]",Default Option,saturday,default,true,"{""_seconds"":1775552400,""_nanoseconds"":987000000}",dinner combo 1 april
WMT0009_dinner_sunday_default,WMT0009,true,dinner,"{""_seconds"":1775552400,""_nanoseconds"":987000000}","[""ITEM053""]",Default Option,sunday,default,true,"{""_seconds"":1775552400,""_nanoseconds"":987000000}",dinner combo 1 april
WMT0009_dinner_thursday_default,WMT0009,true,dinner,"{""_seconds"":1775552400,""_nanoseconds"":987000000}","[""ITEM173"",""ITEM165""]",Default Option,thursday,default,true,"{""_seconds"":1775552400,""_nanoseconds"":987000000}",dinner combo 1 april
WMT0009_dinner_tuesday_default,WMT0009,true,dinner,"{""_seconds"":1775552400,""_nanoseconds"":987000000}","[""ITEM024"",""ITEM022""]",Default Option,tuesday,default,true,"{""_seconds"":1775552400,""_nanoseconds"":987000000}",dinner combo 1 april
WMT0009_dinner_wednesday_default,WMT0009,true,dinner,"{""_seconds"":1775552400,""_nanoseconds"":987000000}","[""ITEM171"",""ITEM063""]",Default Option,wednesday,default,true,"{""_seconds"":1775552400,""_nanoseconds"":987000000}",dinner combo 1 april
WMT0010_dinner_friday_default,WMT0010,true,dinner,"{""_seconds"":1775552557,""_nanoseconds"":183000000}","[""ITEM036""]",Default Option,friday,default,true,"{""_seconds"":1775552557,""_nanoseconds"":183000000}",dinner combo 2 april
WMT0010_dinner_monday_default,WMT0010,true,dinner,"{""_seconds"":1775552557,""_nanoseconds"":183000000}","[""ITEM011""]",Default Option,monday,default,true,"{""_seconds"":1775552557,""_nanoseconds"":183000000}",dinner combo 2 april
WMT0010_dinner_saturday_default,WMT0010,true,dinner,"{""_seconds"":1775552557,""_nanoseconds"":183000000}","[""ITEM086""]",Default Option,saturday,default,true,"{""_seconds"":1775552557,""_nanoseconds"":183000000}",dinner combo 2 april
WMT0010_dinner_sunday_default,WMT0010,true,dinner,"{""_seconds"":1775552557,""_nanoseconds"":183000000}","[""ITEM278""]",Default Option,sunday,default,true,"{""_seconds"":1775552557,""_nanoseconds"":183000000}",dinner combo 2 april
WMT0010_dinner_thursday_default,WMT0010,true,dinner,"{""_seconds"":1775552557,""_nanoseconds"":183000000}","[""ITEM001""]",Default Option,thursday,default,true,"{""_seconds"":1775552557,""_nanoseconds"":183000000}",dinner combo 2 april
WMT0010_dinner_tuesday_default,WMT0010,true,dinner,"{""_seconds"":1775552557,""_nanoseconds"":183000000}","[""ITEM012""]",Default Option,tuesday,default,true,"{""_seconds"":1775552557,""_nanoseconds"":183000000}",dinner combo 2 april
